WNGRF	George Weston Limited	PNK	USA		0
RXNRP	REX ENERGY CORP	PNK	USA		0
HAL	Halliburton Company	NYQ	USA	Oil & Gas Equipment & Services	124
MCF	Contango Oil & Gas Company	ASE	USA	Independent Oil & Gas	121
CASS	Cass Information Systems, Inc.	NMS	USA	Business Services	760
EUGFF	Dundee Energy Limited	PNK	USA		0
XXNCC	DEL TACO RESTAURANT 	PNK	USA		0
VMPT	VAMPT AMERICA, INC.	PNK	USA		0
GGB	Gerdau S.A.	NYQ	USA	Steel & Iron	130
PZBW	Plaza Bank	PNK	USA	Regional - Pacific Banks	416
RIGL	Rigel Pharmaceuticals, Inc.	NMS	USA	Drugs - Generic	512
WGNR	Wegener Corp.	PNK	USA		0
MXGFF	Maxim Power Corp.	PNK	USA		0
NOC	Northrop Grumman Corporation	NYQ	USA	Aerospace/Defense - Major Diversified	610
TKECF	Tokyo Electric Power Company, Incorporated	PNK	USA		0
BBSI	Barrett Business Services Inc.	NMS	USA	Staffing & Outsourcing Services	764
GFOX	Gray Fox Petroleum Corp.	PNK	USA	Independent Oil & Gas	121
JRO	Nuveen Floating Rate Income Opportunity Fund	NYQ	USA		0
XPL	Solitario Exploration & Royalty Corp.	ASE	USA	Gold	134
VIGLF	VIGIL HEALTH SOLUT	PNK	USA		0
LDNXF	London Stock Exchange Group plc	PNK	USA		0
PPS	Post Properties Inc.	NYQ	USA	REIT - Residential	445
VRBCF	Virbac SA	PNK	USA		0
SIXN	Siouxland Energy and Livestock Cooperative	PNK	USA		0
ORYYF	ORYX INTERNATIONAL	PNK	USA		0
GLDD	Great Lakes Dredge & Dock Corporation	NMS	USA	Heavy Construction	635
VNET	21Vianet Group, Inc.	NMS	USA	Information Technology Services	824
ARL	American Realty Investors Inc.	NYQ	USA	Property Management	448
MBDE	Morris Business Development Company	PNK	USA	Business Services	760
MSN	Emerson Radio Corp.	ASE	USA	Electronic Equipment	314
NPV	Nuveen Virginia Premium Income Municipal Fund	NYQ	USA		0
HRTFF	Harte Gold Corp.	PNK	USA		0
JPAVF	JAPAN AVIATION ELECT	PNK	USA		0
CHBH	Croghan Bancshares, Inc.	PNK	USA	Regional - Midwest Banks	414
PHT	Pioneer High Income Trust	NYQ	USA		0
BZM	BlackRock Maryland Municipal Bond Trust	ASE	USA		0
WSPOF	WSP Global Inc.	PNK	USA		0
IRNS	Ironstone Group Inc.	PNK	USA	Diversified Investments	423
LGGNY	Legal & General Group Plc	PNK	USA		0
TISI	Team, Inc.	NYQ	USA	Business Services	760
BIND	BIND Therapeutics, Inc.	NMS	USA	Biotechnology	515
CAPS	Capstone Therapeutics Corp.	PNK	USA	Biotechnology	515
FRMO	FRMO Corp.	PNK	USA		0
SHVLF	Starcore International Mines Ltd	PNK	USA		0
HES	Hess Corporation	NYQ	USA	Independent Oil & Gas	121
BYM	BlackRock Municipal Income Quality Trust	NYQ	USA		0
TAPM	Tapinator, Inc.	PNK	USA		0
VVVFF	Versatile  Systems Inc.	PNK	USA		0
